Error rate
0.359375
0.312500
0.281250
0.218750
0.328125
0.187500
0.250000
0.234375
0.218750
0.218750
0.296875
0.281250
0.234375
0.359375
0.218750
0.328125
0.328125
0.250000
0.171875
0.390625
0.343750
0.406250
0.250000
0.250000
0.453125
0.312500
0.218750
0.265625
0.250000
0.312500
0.281250
0.250000
0.234375
0.203125
0.218750
0.218750
0.312500
0.265625
0.328125
0.281250
0.312500
0.312500
0.375000
0.375000
0.234375
0.250000
0.375000
0.343750
0.359375
0.265625
0.281250
0.296875
0.406250
0.187500
0.421875
0.234375
0.140625
0.265625
0.312500
0.156250
0.250000
0.328125
0.203125
0.343750
0.234375
0.218750
0.203125
0.250000
0.218750
0.359375
0.359375
0.250000
0.250000
0.234375
0.250000
0.281250
0.296875
0.312500
0.453125
0.296875
0.281250
0.265625
0.296875
0.250000
0.281250
0.265625
0.250000
0.250000
0.218750
0.328125
0.390625
0.234375
0.265625
0.265625
0.250000
0.296875
0.250000
0.265625
0.281250
0.187500
