Error rate
0.343750
0.281250
0.484375
0.390625
0.359375
0.359375
0.421875
0.406250
0.343750
0.312500
0.218750
0.343750
0.250000
0.359375
0.390625
0.218750
0.140625
0.218750
0.546875
0.359375
0.484375
0.359375
0.125000
0.218750
0.453125
0.328125
0.390625
0.281250
0.375000
0.375000
0.343750
0.281250
0.296875
0.187500
0.421875
0.328125
0.343750
0.187500
0.328125
0.500000
0.234375
0.156250
0.359375
0.375000
0.390625
0.343750
0.328125
0.296875
0.250000
0.250000
0.390625
0.312500
0.343750
0.390625
0.187500
0.515625
0.187500
0.343750
0.562500
0.421875
0.343750
0.453125
0.406250
0.156250
0.312500
0.312500
0.437500
0.375000
0.140625
0.343750
0.328125
0.187500
0.140625
0.343750
0.343750
0.343750
0.281250
0.312500
0.406250
0.250000
0.312500
0.296875
0.296875
0.484375
0.296875
0.250000
0.296875
0.328125
0.343750
0.156250
0.359375
0.406250
0.187500
0.218750
0.187500
0.390625
0.375000
0.343750
0.250000
0.218750
